15.26,14.84,0.87,5.76,3.31,2.22,5.22,1.00
14.88,14.57,0.88,5.55,3.33,1.02,4.96,1.00
14.29,14.09,0.91,5.29,3.34,2.70,4.83,1.00
13.84,13.94,0.90,5.32,3.38,2.26,4.81,1.00
16.14,14.99,0.90,5.66,3.56,1.36,5.18,1.00
14.38,14.21,0.90,5.39,3.31,2.46,4.96,1.00
14.69,14.49,0.88,5.56,3.26,3.59,5.22,1.00
14.11,14.10,0.89,5.42,3.30,2.70,0.00,5.00
16.63,15.46,0.87,6.05,3.47,2.04,5.88,1.00
16.44,15.25,0.89,5.88,3.51,1.97,5.53,1.00
15.26,14.85,0.87,5.71,3.24,4.54,5.31,1.00
14.03,14.16,0.88,5.44,3.20,1.72,5.00,1.00
13.89,14.02,0.89,5.44,3.20,3.99,4.74,1.00
13.78,14.06,0.88,5.48,3.16,3.14,4.87,1.00
13.74,14.05,0.87,5.48,3.11,2.93,4.83,1.00
14.59,14.28,0.90,5.35,3.33,4.19,4.78,1.00
13.99,13.83,0.92,5.12,3.38,5.23,4.78,1.00
15.69,14.75,0.91,5.53,3.51,1.60,5.05,1.00
14.70,14.21,0.92,5.21,3.47,1.77,4.65,1.00
12.72,13.57,0.87,5.23,3.05,4.10,4.91,1.00
14.16,14.40,0.86,5.66,3.13,3.07,5.18,1.00
14.11,14.26,0.87,5.52,3.17,2.69,5.22,1.00
15.88,14.90,0.90,5.62,3.51,0.77,5.09,1.00
12.08,13.23,0.87,5.10,2.94,1.42,4.96,1.00
15.01,14.76,0.87,5.79,3.25,1.79,5.00,1.00
16.19,15.16,0.88,5.83,3.42,0.90,5.31,1.00
13.02,13.76,0.86,5.40,3.03,3.37,4.83,1.00
12.74,13.67,0.86,5.40,2.96,2.50,4.87,1.00
14.11,14.18,0.88,5.54,3.22,2.75,5.04,1.00
13.45,14.02,0.86,5.52,3.07,3.53,5.10,1.00
13.16,13.82,0.87,5.45,2.98,0.86,5.06,1.00
15.49,14.94,0.87,5.76,3.37,3.41,5.23,1.00
14.09,14.41,0.85,5.72,3.19,3.92,5.30,1.00
13.94,14.17,0.87,5.59,3.15,2.12,5.01,1.00
15.05,14.68,0.88,5.71,3.33,2.13,5.36,1.00
16.12,15.00,0.00,0.90,0.00,5.71,3.49,2.27
16.20,15.27,0.87,5.83,3.46,2.82,5.53,1.00
17.08,15.38,0.91,5.83,3.68,2.96,5.48,1.00
14.80,14.52,0.88,5.66,3.29,3.11,5.31,1.00
14.28,14.17,0.89,5.40,3.30,6.69,5.00,1.00
13.54,13.85,0.89,5.35,3.16,2.59,5.18,1.00
13.50,13.85,0.89,5.35,3.16,2.25,5.18,1.00
13.16,13.55,0.90,5.14,3.20,2.46,4.78,1.00
15.50,14.86,0.88,5.88,3.40,4.71,5.53,1.00
15.11,14.54,0.90,5.58,3.46,3.13,5.18,1.00
13.80,14.04,0.88,5.38,3.16,1.56,4.96,1.00
15.36,14.76,0.89,5.70,3.39,1.37,5.13,1.00
14.99,14.56,0.89,5.57,3.38,2.96,5.18,1.00
14.79,14.52,0.88,5.55,3.29,2.70,5.11,1.00
14.86,14.67,0.87,5.68,3.26,2.13,5.35,1.00
14.43,14.40,0.88,5.59,3.27,3.98,5.14,1.00
15.78,14.91,0.89,5.67,3.43,5.59,5.14,1.00
14.49,14.61,0.85,5.72,3.11,4.12,5.40,1.00
14.33,14.28,0.88,5.50,3.20,3.33,5.22,1.00
14.52,14.60,0.86,5.74,3.11,1.48,5.49,1.00
15.03,14.77,0.87,5.70,3.21,1.93,5.44,1.00
14.46,14.35,0.88,5.39,3.38,2.80,5.04,1.00
14.92,14.43,0.90,5.38,3.41,1.14,5.09,1.00
15.38,14.77,0.89,5.66,3.42,2.00,5.22,1.00
12.11,13.47,0.84,5.16,3.03,1.50,4.52,1.00
11.42,12.86,0.87,5.01,2.85,2.70,0.00,4.61
11.23,12.63,0.88,4.90,2.88,2.27,4.70,1.00
12.36,13.19,0.89,5.08,3.04,3.22,4.61,1.00
13.22,13.84,0.87,5.40,3.07,4.16,5.09,1.00
12.78,13.57,0.87,5.26,3.03,1.18,4.78,1.00
12.88,13.50,0.89,5.14,3.12,2.35,4.61,1.00
14.34,14.37,0.87,5.63,3.19,1.31,5.15,1.00
